"ID Caso","ID Caso Relacionado","Año","Mes","Día","Código DANE de Municipio","Municipio","Departamento","Región","Modalidad","Presunto Responsable","Descripción Presunto Responsable","Abandono o Despojo Forzado de Tierras","Amenaza o Intimidación","Ataque Contra Misión Médica","Confinamiento o Restricción a la Movilidad","Desplazamiento Forzado","Extorsión","Lesionados Civiles","Pillaje","Tortura","Violencia Basada en Género","Otro Hecho Simultáneo","Total de Víctimas del Caso","Forma de Vinculación","Tipo de Vinculación","latitud-longitud"
"305.680",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.681",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.682",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.683",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.684",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","COACCIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","RECLUTAMIENTO","POINT (-73.56475288 6.664260002)"
"305.685",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.686",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","COACCIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","RECLUTAMIENTO","POINT (-73.56475288 6.664260002)"
"305.687",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.688",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.689",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","COACCIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","RECLUTAMIENTO","POINT (-73.56475288 6.664260002)"
"305.690",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.691",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.692",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.693",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.694",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","COACCIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","RECLUTAMIENTO","POINT (-73.56475288 6.664260002)"
"305.695",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.696",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.697",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
